1,global,20,0.23849285937875261,ARA,BEN
1,local,20,0.2667571628932579,ARA,BEN
2,global,20,0.26103584590827966,ARA,BEN
2,local,20,0.31506233735011546,ARA,BEN
3,global,20,0.22084159454001162,ARA,BEN
3,local,20,0.2094866660188196,ARA,BEN
4,global,20,0.24528344269840183,ARA,BEN
4,local,20,0.2783526938261569,ARA,BEN
5,global,20,0.2574079753926105,ARA,BEN
5,local,20,0.3045126648496643,ARA,BEN
6,global,20,0.25609740054762076,ARA,BEN
6,local,20,0.31972558659015304,ARA,BEN
7,global,20,0.2541999910478001,ARA,BEN
7,local,20,0.32068403525634703,ARA,BEN
8,global,20,0.23473981161987195,ARA,BEN
8,local,20,0.22600141051827838,ARA,BEN
9,global,20,0.285119940142937,ARA,BEN
9,local,20,0.4463235425750225,ARA,BEN
10,global,20,0.22853183520267917,ARA,BEN
10,local,20,0.2675142941900436,ARA,BEN
11,global,20,0.25352614078967906,ARA,BEN
11,local,20,0.2960981229596048,ARA,BEN
12,global,20,0.271172092577487,ARA,BEN
12,local,20,0.3207382497008848,ARA,BEN
13,global,20,0.249820504025636,ARA,BEN
13,local,20,0.29740985109669094,ARA,BEN
14,global,20,0.2475624817542148,ARA,BEN
14,local,20,0.29007421649252296,ARA,BEN
15,global,20,0.2456871049907936,ARA,BEN
15,local,20,0.3147463008648579,ARA,BEN
16,global,20,0.22674341364079936,ARA,BEN
16,local,20,0.25535367927335434,ARA,BEN
17,global,20,0.26891343087267383,ARA,BEN
17,local,20,0.3862109396412917,ARA,BEN
18,global,20,0.28275222382853743,ARA,BEN
18,local,20,0.4056643541227575,ARA,BEN
19,global,20,0.26708354907926884,ARA,BEN
19,local,20,0.34845469589984457,ARA,BEN
20,global,20,0.13216798050090137,ARA,BEN
20,local,20,0.30493754951708435,ARA,BEN
1,global,20,0.2507059240004291,ARA,BUL
1,local,20,0.015504061723172174,ARA,BUL
2,global,20,0.2965590825087604,ARA,BUL
2,local,20,0.407781129028621,ARA,BUL
3,global,20,0.24696253041851796,ARA,BUL
3,local,20,0.28332085025216935,ARA,BUL
4,global,20,0.2812845631136933,ARA,BUL
4,local,20,0.3416857040238861,ARA,BUL
5,global,20,0.24283773906059408,ARA,BUL
5,local,20,0.2518438411232705,ARA,BUL
6,global,20,0.28472612038857437,ARA,BUL
6,local,20,0.35602809393217955,ARA,BUL
7,global,20,0.3156166644276468,ARA,BUL
7,local,20,0.4721069607648082,ARA,BUL
8,global,20,0.2538729099217707,ARA,BUL
8,local,20,0.2907221812058217,ARA,BUL
9,global,20,0.28668566956866126,ARA,BUL
9,local,20,0.37497574358776264,ARA,BUL
10,global,20,0.2729938524821821,ARA,BUL
10,local,20,0.40014060583301647,ARA,BUL
11,global,20,0.2929613721384702,ARA,BUL
11,local,20,0.3877103271344417,ARA,BUL
12,global,20,0.29097141591007436,ARA,BUL
12,local,20,0.34837292892741484,ARA,BUL
13,global,20,0.27392606656608764,ARA,BUL
13,local,20,0.41854076571286203,ARA,BUL
14,global,20,0.2544925552635652,ARA,BUL
14,local,20,0.26997961603585535,ARA,BUL
15,global,20,0.2750125900669532,ARA,BUL
15,local,20,0.3200039055627653,ARA,BUL
16,global,20,0.23733331927070644,ARA,BUL
16,local,20,0.24545462717543454,ARA,BUL
17,global,20,0.24918388989645446,ARA,BUL
17,local,20,0.2676699802426855,ARA,BUL
18,global,20,0.27057478257953493,ARA,BUL
18,local,20,0.29378099916928113,ARA,BUL
19,global,20,0.23229677355310044,ARA,BUL
19,local,20,0.17464011108225058,ARA,BUL
20,global,20,0.19059159033918213,ARA,BUL
20,local,20,NA,ARA,BUL
1,global,20,0.2071205180628562,BEN,BUL
1,local,20,-0.22424644719282733,BEN,BUL
2,global,20,0.25066148724859666,BEN,BUL
2,local,20,0.26878104769762184,BEN,BUL
3,global,20,0.22095593157521642,BEN,BUL
3,local,20,0.22772004035976168,BEN,BUL
4,global,20,0.2688556941220557,BEN,BUL
4,local,20,0.3109098967061382,BEN,BUL
5,global,20,0.254208165499935,BEN,BUL
5,local,20,0.3036259825876011,BEN,BUL
6,global,20,0.2545418775336759,BEN,BUL
6,local,20,0.2973859785026086,BEN,BUL
7,global,20,0.2811018560976671,BEN,BUL
7,local,20,0.3777073885570149,BEN,BUL
8,global,20,0.2504301762166129,BEN,BUL
8,local,20,0.2537012276467629,BEN,BUL
9,global,20,0.2761137863233493,BEN,BUL
9,local,20,0.34894195290708074,BEN,BUL
10,global,20,0.26769301489327657,BEN,BUL
10,local,20,0.3396189927544632,BEN,BUL
11,global,20,0.29238073645339724,BEN,BUL
11,local,20,0.41826078653009147,BEN,BUL
12,global,20,0.25796239005987354,BEN,BUL
12,local,20,0.3383607015304666,BEN,BUL
13,global,20,0.2995319250411348,BEN,BUL
13,local,20,0.3166768284716137,BEN,BUL
14,global,20,0.2668969463498838,BEN,BUL
14,local,20,0.3005942452663417,BEN,BUL
15,global,20,0.27552906101964253,BEN,BUL
15,local,20,0.34847653141380874,BEN,BUL
16,global,20,0.24209691063939853,BEN,BUL
16,local,20,0.28073393023782145,BEN,BUL
17,global,20,0.28313456320750346,BEN,BUL
17,local,20,0.3989680795449112,BEN,BUL
18,global,20,0.2966475103586069,BEN,BUL
18,local,20,0.41191255068476584,BEN,BUL
19,global,20,0.24665272587417972,BEN,BUL
19,local,20,0.3048345572591209,BEN,BUL
20,global,20,0.25580359635461564,BEN,BUL
20,local,20,0.33241365925585864,BEN,BUL
1,global,20,0.27890516337549653,ARA,CHI
1,local,20,0.36124341248774794,ARA,CHI
2,global,20,0.31049632736743554,ARA,CHI
2,local,20,0.39288536755144243,ARA,CHI
3,global,20,0.2668270303276229,ARA,CHI
3,local,20,0.3086792862439424,ARA,CHI
4,global,20,0.2583758578519031,ARA,CHI
4,local,20,0.321996658474642,ARA,CHI
5,global,20,0.2703997687274076,ARA,CHI
5,local,20,0.323329060812069,ARA,CHI
6,global,20,0.32714525773411685,ARA,CHI
6,local,20,0.5088832206837504,ARA,CHI
7,global,20,0.2879465305688573,ARA,CHI
7,local,20,0.37633179414839657,ARA,CHI
8,global,20,0.2776646573557696,ARA,CHI
8,local,20,0.3739020535431967,ARA,CHI
9,global,20,0.32331641223206675,ARA,CHI
9,local,20,0.4953369325847782,ARA,CHI
10,global,20,0.23576701221810045,ARA,CHI
10,local,20,0.2748557308085439,ARA,CHI
11,global,20,0.25779273507091716,ARA,CHI
11,local,20,0.25626369245470015,ARA,CHI
12,global,20,0.2778874743973331,ARA,CHI
12,local,20,0.32802885049384983,ARA,CHI
13,global,20,0.2755437014264259,ARA,CHI
13,local,20,0.4266409453263442,ARA,CHI
14,global,20,0.3005967168348259,ARA,CHI
14,local,20,0.3545109480544772,ARA,CHI
15,global,20,0.26198160963702044,ARA,CHI
15,local,20,0.29425040709513617,ARA,CHI
16,global,20,0.25542646286834686,ARA,CHI
16,local,20,0.26379600446345014,ARA,CHI
17,global,20,0.23995074323764826,ARA,CHI
17,local,20,0.2510160726346045,ARA,CHI
18,global,20,0.2755767522336386,ARA,CHI
18,local,20,0.3320880429417872,ARA,CHI
19,global,20,0.2609469497657353,ARA,CHI
19,local,20,0.25639824207454065,ARA,CHI
20,global,20,0.18529770605207532,ARA,CHI
20,local,20,0.18667968147910158,ARA,CHI
1,global,20,0.26748296635946495,BEN,CHI
1,local,20,0.33106720151088653,BEN,CHI
2,global,20,0.26040706569983746,BEN,CHI
2,local,20,0.3013603735253029,BEN,CHI
