conc_tile,ci_lower,ci_upper,mean
1,6.33986566623984,6.718048675120168,6.522111731612419
2,5.953699096313291,6.266575112142566,6.108877537241123
3,5.997822682139409,6.301407107748914,6.144960597690102
4,5.935000341411707,6.2249907774916355,6.0804320189456975
5,6.038469393851502,6.3207895128991405,6.168593852964478
6,6.020258557099339,6.318339199485464,6.172691277283054
7,5.937466313935148,6.236999082347512,6.08469924650178
8,5.7456111493492115,6.049348957164325,5.889817886075895
9,5.643338043468507,5.949070164205672,5.791860721349786
10,5.4929088230644885,5.804473901223565,5.64503562719016
