ARA,BEN,low,grammatical,0.4524669860822521
ARA,BEN,high,grammatical,0.36671218029240826
GER,NEP,high,grammatical,0.454476335173227
ARA,URD,high,grammatical,0.4048944991261973
GER,NEP,low,content,0.19436703111074377
PAN,RUM,low,content,0.24652330352695923
FRE,ITA,high,content,0.2981167151122844
GER,ITA,low,grammatical,0.48802647097475144
GER,ITA,high,grammatical,0.46077929918654703
ARA,URD,low,content,0.27497539000945637
ARA,BEN,low,content,0.2625092664227318
GER,ITA,low,content,0.25253341193094364
GER,ITA,high,content,0.25841953397973294
GRE,ITA,low,grammatical,0.5037206902109446
GRE,ITA,high,grammatical,0.4748786766401287
MAL,TEL,high,content,0.2678897113083106
MAR,TEL,low,grammatical,0.4323218485765884
MAR,TEL,high,grammatical,0.5047555104838364
GRE,ITA,low,content,0.2636880701052333
GER,NEP,high,content,0.2294781305279234
GRE,NEP,low,grammatical,0.45368425104900223
GRE,NEP,high,grammatical,0.4556985380146831
GRE,NEP,low,content,0.22397798820661727
PAN,RUM,high,content,0.2796978835377968
POL,RUM,low,grammatical,0.4844304989907111
POL,RUM,high,grammatical,0.5292615747195136
ARA,BEN,high,content,0.21123196422498314
ARA,URD,high,content,0.23494526441189736
ARA,BUL,low,grammatical,0.5190515937553754
BEN,URD,low,grammatical,0.5081944493549913
BEN,URD,high,grammatical,0.5506898043270502
ARA,BUL,high,grammatical,0.4375579564713873
MAR,TEL,low,content,0.27673898505136985
GRE,NEP,high,content,0.23756141707711442
GUJ,NEP,low,grammatical,0.522258760148649
GUJ,NEP,high,grammatical,0.49804990530975807
GRE,ITA,high,content,0.2645587006025916
GUJ,ITA,low,grammatical,0.46419229326512207
GUJ,ITA,high,grammatical,0.4826188869076176
POL,RUM,low,content,0.29370679932539123
ARA,BUL,low,content,0.29738251851364333
BEN,URD,low,content,0.285839142408754
GUJ,ITA,low,content,0.24286150600672102
GUJ,NEP,low,content,0.2719082680558128
MAR,TEL,high,content,0.25922954754011346
NEP,TEL,low,grammatical,0.49934711357383676
GUJ,ITA,high,content,0.25548696018904504
NEP,TEL,high,grammatical,0.5101632583752569
HIN,ITA,low,grammatical,0.40819897511420034
HIN,ITA,high,grammatical,0.4273975482955563
