iso,wiki,speakers_l1,total_requests
arb,ar,127560000,1950168
ben,bn,180623600,160581
bul,bg,8775000,749758
cmn,zh,844355000,7264081
deu,de,83520790,22186470
ell,el,11792480,559631
eng,en,492481870,218718960
fra,fr,65458630,14915566
guj,gu,45544800,25167
hin,hi,180122200,240528
ibo,ig,18000000,4657
ind,id,NA,2023187
ita,it,57191010,9811088
jpn,ja,121563000,19777272
kan,kn,35300000,39903
kor,ko,65236300,1554867
mal,ml,35400313,88082
mar,mr,68000000,157128
nep,ne,13865000,29801
nld,nl,21220000,3916872
pan,pa,27100000,25073
pes,fa,22472000,1867645
pol,pl,37794600,6328713
por,pt,173000000,6335035
ron,ro,22610000,839747
rus,ru,135099940,36291640
spa,es,327355040,18058586
tam,ta,65296000,136453
tel,te,69600600,135332
tgl,tl,21500000,302263
tha,th,20230000,878272
tur,tr,47644500,3817104
urd,ur,59050000,123679
vie,vi,67954200,1290969
yor,yo,18900000,23970
