lang1,lang2,local,global,dif,corpus
ar,bg,0.3303223209288796,0.28305084400342434,0.04727147692545525,wiki
ar,bn,0.24809817041056048,0.2057304862945027,0.04236768411605779,wiki
ar,de,0.32480447361448117,0.2796395006789343,0.04516497293554689,wiki
ar,el,0.31343782436493417,0.2688484073330168,0.04458941703191738,wiki
ar,en,0.3697269129013865,0.31819680863663496,0.05153010426475152,wiki
ar,es,0.34746666283651706,0.3001870419734236,0.04727962086309345,wiki
ar,fa,0.30541975079395906,0.25621605548554033,0.04920369530841873,wiki
ar,fr,0.3360879880593159,0.2922327335961799,0.043855254463135984,wiki
ar,gu,0.2278962209097131,0.19476740805780654,0.03312881285190655,wiki
ar,hi,0.29278835283874083,0.24899384077238707,0.043794512066353763,wiki
ar,id,0.3293806826836617,0.2802668174265798,0.049113865257081946,wiki
ar,ig,0.039124063101411706,0.02514375431090666,0.013980308790505047,wiki
ar,it,0.3460230565513745,0.2983445997733358,0.047678456778038725,wiki
ar,ja,0.032065555228509825,0.02343137173997665,0.008634183488533176,wiki
ar,kn,0.2574465097332461,0.2167089426052798,0.040737567127966334,wiki
ar,ko,0.2498318702712692,0.21070455260607174,0.039127317665197475,wiki
ar,ml,0.2043941692695012,0.1716260081202055,0.032768161149295705,wiki
ar,mr,0.21363414558021018,0.17921525828692225,0.03441888729328793,wiki
ar,ne,0.15620304699944515,0.1301196017975827,0.026083445201862454,wiki
ar,nl,0.3155438179683019,0.26994526827865306,0.045598549689648826,wiki
ar,pa,0.19598881839224627,0.16411871714790738,0.031870101244338894,wiki
ar,pl,0.3135615368589342,0.26409817771873867,0.049463359140195506,wiki
ar,pt,0.3474618341630284,0.300981654742218,0.0464801794208104,wiki
ar,ro,0.32147288501702714,0.2739558868905489,0.04751699812647825,wiki
ar,ru,0.315373183308309,0.26955259029642104,0.045820593011887956,wiki
ar,ta,0.24333920414258944,0.1987685601831437,0.04457064395944574,wiki
ar,te,0.23930980866154197,0.2014590056696276,0.03785080299191437,wiki
ar,th,0.26348780298112384,0.22361693374051622,0.03987086924060762,wiki
ar,tl,0.2410756597422438,0.19977409646279232,0.041301563279451475,wiki
ar,tr,0.31730998701510943,0.26831191944222843,0.048998067572881,wiki
ar,ur,0.1627733447214174,0.13604223327591272,0.02673111144550469,wiki
ar,vi,0.23218526328338943,0.20742677404236087,0.024758489241028553,wiki
ar,yo,0.04933259100855467,0.031927707654673086,0.017404883353881587,wiki
ar,zh,0.1303037911731165,0.10791448579099991,0.022389305382116587,wiki
bg,de,0.46250551810130636,0.4075292994497906,0.05497621865151575,wiki
bg,el,0.4458532959845434,0.38654463182276466,0.05930866416177871,wiki
bg,en,0.48736079326606957,0.4317613300348979,0.05559946323117165,wiki
bg,es,0.4791947674014917,0.4268749781740749,0.05231978922741681,wiki
bg,fa,0.3561699385969581,0.30696946005251263,0.04920047854444548,wiki
bg,fr,0.47126818941292087,0.42071985222057157,0.0505483371923493,wiki
bg,gu,0.2793176475507445,0.24458254076541316,0.03473510678533134,wiki
bg,hi,0.3494808189167157,0.30158224834367703,0.047898570573038646,wiki
bg,id,0.41360637921207555,0.3631898063156976,0.050416572896377965,wiki
bg,ig,0.04360332281226526,0.033843162440144514,0.009760160372120748,wiki
bg,it,0.48476059247024506,0.43252330298922564,0.05223728948101941,wiki
