corpus,term,estimate,std.error,statistic,p.value
Wikipedia,(Intercept),0.040241883313545834,0.0038173323267882897,10.541886288271716,6.2190480952008564e-24
Wikipedia,wals_lang_dist,-1.7697946902576978e-5,2.8233469558987798e-5,-0.626842792579952,0.5310035364225117
TOEFL,(Intercept),0.05768346175884724,0.0012086586169443184,47.72518968563698,3.0401703086753553e-205
TOEFL,wals_lang_dist,5.212582863788874e-6,8.939391005921778e-6,0.5831026811933687,0.5600458571896225
