word,category_label
angel,religion
curse,religion
devil,religion
greed,religion
sin,religion
earth,earth
moon,earth
ocean,earth
sea,earth
sun,earth
wind,earth
occupation,poltical_movements
movement,poltical_movements
invasion,poltical_movements
peace,poltical_movements
revolution,poltical_movements
invasion,poltical_movements
book,literary
film,literary
magazine,literary
poem,literary
story,literary
literature,literary
flower,plants
fruit,plants
plant,plants
powers,career
career,career
talent,career
popularity,career
success,career
army,army
battalion,army
troops,army
officer,army
command,army
age,human_development
birth,human_development
child,human_development
death,human_development
mother,human_development
husband,human_development
storm,disaster
hurricane,disaster
famine,disaster
disaster,disaster
calamity,disaster
plague,disaster
race,race
medal,race
final,race
civic,civic
politics,civic
social,civic
culture,civic
liberty,civic
governance,civic
arch,structures
bridge,structures
statue,structures
wall,structures
gate,structures
cloth,material
cotton,material
mill,material
steel,material
hemp,material
grain,material
body,body
eye,body
face,body
leg,body
mouth,body
head,body
atom,small_units
cell,small_units
molecule,small_units
protein,small_units
flu,health
vaccine,health
vomiting,health
therapy,health
digestion,health
bishop,religion
deity,religion
disciple,religion
holy,religion
monk,religion
spiritual,religion
cable,media
news,media
station,media
signal,media
channel,media
lake,water
canal,water
basin,water
time,time
sunday,time
month,time
first,time
era,time
advent,time
doctor,profession
poet,profession
scholar,profession
teacher,profession
writer,profession
painter,profession
bean,food
carrot,food
food,food
milk,food
onion,food
rice,food
flour,food
academy,performance
lecture,performance
theater,performance
exhibition,performance
festival,performance
belief,belief
claim,belief
criticism,belief
opinion,belief
prejudice,belief
sentiment,belief
statement,belief
album,music
guitar,music
organ,music
song,music
instrument,music
composer,music
letter,letters
address,letters
message,letters
write,letters
document,letters
script,letters
delegate,democracy
elect,democracy
government,democracy
parliamentary,democracy
minister,democracy
election,democracy
limit,size
size,size
weight,size
positive,size
excess,size
difference,size
cost,size
depth,size
comparison,size
city,geography
country,geography
national,geography
territory,geography
village,geography
zone,geography
computation,machines
disk,machines
machine,machines
system,machines
tool,machines
function,machines
accusation,justice
complaint,justice
corrupt,justice
criminal,justice
guilty,justice
truth,justice
testimony,justice
company,commerce
firm,commerce
manager,commerce
production,commerce
stock,commerce
customer,commerce
production,commerce
king,king
imperial,king
emperor,king
bird,animal
animal,animal
cat,animal
cow,animal
dog,animal
horse,animal
pig,animal
snake,animal
