category_label,n_languages
accusation-criminal-guilty,18
army-troops-battalion,18
book-story-literature,6
cable-channel-signal,7
calamity-disaster-famine,9
cat-dog-animal,24
cotton-hemp-grain,16
earth-sun-ocean,7
emperor-king-imperial,21
eye-leg-mouth,10
festival-theater-exhibition,7
final-race-medal,2
first-month-time,11
invasion-occupation-revolution,5
lake-basin-canal,7
message-letter-address,6
molecule-atom-protein,14
mother-husband-child,20
onion-rice-milk,24
parliamentary-delegate-election,7
plant-fruit-flower,9
popularity-success-talent,9
sin-devil-angel,19
social-politics-culture,11
song-album-guitar,13
statement-prejudice-claim,2
system-tool-disk,3
territory-city-zone,11
therapy-flu-vaccine,20
wall-arch-gate,8
writer-poet-painter,19
