lang,cluster1,cluster2,cos_dist,quartile,decile
ar,1,1,1,4,10
ar,2,1,0.2517506206038111,2,4
ar,3,1,0.5209913262989447,4,10
ar,4,1,0.3605467907078822,3,6
ar,5,1,0.49109787932192805,4,8
ar,6,1,0.17501680154976357,1,3
ar,7,1,0.29488351871090335,2,4
ar,8,1,0.2868093388504817,3,8
ar,9,1,0.54340451908138,4,9
ar,10,1,0.44668708877835905,3,7
ar,11,1,0.5320450001153828,4,9
ar,12,1,0.7130989628905215,4,10
ar,13,1,0.39571572622451945,2,4
ar,14,1,0.5493429110153657,4,10
ar,15,1,0.569486159330695,4,9
ar,16,1,0.4423232873007507,4,8
ar,17,1,0.4614670370015869,4,8
ar,18,1,0.28848320539607575,2,5
ar,19,1,0.5380824205379813,4,10
ar,20,1,0.5706410920517682,3,8
ar,21,1,0.2293361667958242,3,6
ar,22,1,0.42819769923296136,3,6
ar,23,1,0.35139901940536716,3,8
ar,24,1,0.5519071034888693,4,10
ar,25,1,0.2787340343785415,2,4
ar,26,1,0.3914413353580652,3,6
ar,27,1,0.5750571332929497,4,10
ar,28,1,0.543696443468022,4,10
ar,29,1,0.5618281259315024,4,9
ar,30,1,0.5549589905487214,4,9
ar,31,1,0.5495632839302487,4,9
ar,32,1,0.28121277389999355,2,4
ar,33,1,0.6159964511413297,3,8
ar,34,1,0.5086804644123165,4,8
ar,35,1,0.4108255684291401,3,7
ar,36,1,0.3208075194702191,2,3
ar,37,1,0.5174582583621378,3,7
ar,38,1,0.5218038271742027,4,10
ar,39,1,0.40049118890374974,3,8
ar,40,1,0.5073569374432753,4,8
ar,41,1,0.35181002322915644,3,6
ar,42,1,0.5756348044409415,4,9
ar,43,1,0.38322280801717673,3,7
ar,44,1,0.48438509182732337,4,8
ar,45,1,0.4022349574036189,3,6
ar,46,1,0.45613989329721866,3,8
ar,47,1,0.5294024707202452,4,10
ar,48,1,0.5067316007106728,4,9
ar,49,1,0.4437264794263866,4,8
ar,50,1,0.5441918083638954,4,9
ar,1,2,0.2517506206038111,1,1
ar,2,2,1,4,10
ar,3,2,0.22413623528851317,1,1
ar,4,2,0.2599692414597077,1,1
ar,5,2,0.4123182825570604,3,6
ar,6,2,0.2340184733558083,3,8
ar,7,2,0.16250253374703652,1,1
ar,8,2,0.17474347812445687,1,3
