category_label,word
animal,cat
animal,dog
animal,animal
army,army
army,troops
army,battalion
belief,statement
belief,prejudice
belief,claim
body,eye
body,leg
body,mouth
career,popularity
career,success
career,talent
civic,social
civic,politics
civic,culture
commerce,production
commerce,company
commerce,customer
democracy,parliamentary
democracy,delegate
democracy,election
disaster,calamity
disaster,disaster
disaster,famine
earth,earth
earth,sun
earth,ocean
food,onion
food,rice
food,milk
geography,territory
geography,city
geography,zone
health,therapy
health,flu
health,vaccine
human_development,mother
human_development,husband
human_development,child
justice,accusation
justice,criminal
justice,guilty
king,emperor
king,king
king,imperial
letters,message
letters,letter
letters,address
literary,book
literary,story
literary,literature
machines,system
machines,tool
machines,disk
material,cotton
material,hemp
material,grain
media,cable
media,channel
media,signal
music,song
music,album
music,guitar
performance,festival
performance,theater
performance,exhibition
plants,plant
plants,fruit
plants,flower
poltical_movements,invasion
poltical_movements,occupation
poltical_movements,revolution
profession,writer
profession,poet
profession,painter
race,final
race,race
race,medal
religion,sin
religion,devil
religion,angel
size,comparison
size,size
size,difference
small_units,molecule
small_units,atom
small_units,protein
structures,wall
structures,arch
structures,gate
time,first
time,month
time,time
water,lake
water,basin
water,canal
