cluster2,cluster1,cosine_distance
8,8,1
3,8,0.7498974015133103
6,8,0.6528587297157887
4,8,0.675188390978933
1,8,0.7360507148794125
2,8,0.6539080427594869
7,8,0.61835285463632494
9,8,0.7541310874198547
5,8,0.7349569511765234
10,8,0.5617593554417888
8,3,0.7498974015133103
3,3,1
6,3,0.7375892863060433
4,3,0.5908013974441723
1,3,0.6995892423754987
2,3,0.621655018078545
7,3,0.5324465271282909
9,3,0.7593852818788452
5,3,0.4928994291598401
10,3,0.5584298376740534
8,6,0.6528587297157887
3,6,0.7375892863060433
6,6,1
4,6,0.7120938537768405
1,6,0.7104490325757767
2,6,0.7542862701115102
7,6,0.5434538895159691
9,6,0.5434273140683056
5,6,0.564246044078811
10,6,0.70351101328171906
8,4,0.675188390978933
3,4,0.5908013974441723
6,4,0.7120938537768405
4,4,1
1,4,0.740074584843445
2,4,0.7384433659009653
7,4,0.5420002980536094
9,4,0.5169324083470667
5,4,0.6489968133072385
10,4,0.6549082895589169
8,1,0.7360507148794125
3,1,0.6995892423754987
6,1,0.7104490325757767
4,1,0.740074584843445
1,1,1
2,1,0.5831843705447531
7,1,0.5247069091834148
9,1,0.6754886740155784
5,1,0.5037306407231538
10,1,0.5362752695106531
8,2,0.6539080427594869
3,2,0.621655018078545
6,2,0.7542862701115102
4,2,0.7384433659009653
1,2,0.5831843705447531
2,2,1
7,2,0.5862036237901525
9,2,0.4848056211409859
5,2,0.6991571034049681
10,2,0.7012905301632724
8,7,0.61835285463632494
3,7,0.5324465271282909
6,7,0.5434538895159691
4,7,0.5420002980536094
1,7,0.5247069091834148
2,7,0.5862036237901525
7,7,1
9,7,0.5594029601534098
5,7,0.7091405185471378
10,7,0.5880856050578492
8,9,0.7541310874198547
3,9,0.7593852818788452
6,9,0.5434273140683056
4,9,0.5169324083470667
1,9,0.6754886740155784
2,9,0.4848056211409859
7,9,0.5594029601534098
9,9,1
5,9,0.5701018936034433
10,9,0.4378598881257004
8,5,0.7349569511765234
3,5,0.4928994291598401
6,5,0.564246044078811
4,5,0.6489968133072385
1,5,0.5037306407231538
2,5,0.6991571034049681
7,5,0.7091405185471378
9,5,0.5701018936034433
5,5,1
10,5,0.5872071535506311
8,10,0.5617593554417888
3,10,0.5584298376740534
6,10,0.70351101328171906
4,10,0.6549082895589169
1,10,0.5362752695106531
2,10,0.7012905301632724
7,10,0.5880856050578492
9,10,0.4378598881257004
5,10,0.5872071535506311
10,10,1
