cluster2,cluster1,cosine_distance
2,2,1
4,2,0.6680093469240868
8,2,0.7981288074283195
1,2,0.7684664625350548
3,2,0.7028822410702354
9,2,0.7402706178369599
10,2,0.5731622803407324
5,2,0.6402633167830691
6,2,0.6490302845921925
7,2,0.6048416785773
2,4,0.6680093469240868
4,4,1
8,4,0.7550218816527167
1,4,0.7247482543466016
3,4,0.6710459603568072
9,4,0.7568177606371786
10,4,0.5720406734065321
5,4,0.7466330853002956
6,4,0.6254257390527199
7,4,0.7151256595560909
2,8,0.7981288074283195
4,8,0.7550218816527167
8,8,1
1,8,0.6996116273461371
3,8,0.700446162974336
9,8,0.7109728683304976
10,8,0.602604363670269
5,8,0.74757634179106
6,8,0.6485676337867842
7,8,0.7109053986937741
2,1,0.7684664625350548
4,1,0.7247482543466016
8,1,0.6996116273461371
1,1,1
3,1,0.5658745115112651
9,1,0.7578801082627008
10,1,0.49601093525221807
5,1,0.6526171929335441
6,1,0.5828516552000756
7,1,0.5614515693028074
2,3,0.7028822410702354
4,3,0.6710459603568072
8,3,0.700446162974336
1,3,0.5658745115112651
3,3,1
9,3,0.6348996210417052
10,3,0.6521122493905951
5,3,0.6866411532198032
6,3,0.6290285822756876
7,3,0.6367976334026284
2,9,0.7402706178369599
4,9,0.7568177606371786
8,9,0.7109728683304976
1,9,0.7578801082627008
3,9,0.6348996210417052
9,9,1
10,9,0.5995531958761879
5,9,0.7033410349638095
6,9,0.6194507804514815
7,9,0.599806751922264
2,10,0.5731622803407324
4,10,0.5720406734065321
8,10,0.602604363670269
1,10,0.49601093525221807
3,10,0.6521122493905951
9,10,0.5995531958761879
10,10,1
5,10,0.5981873557908436
6,10,0.4722969351800993
7,10,0.5980366128931728
2,5,0.6402633167830691
4,5,0.7466330853002956
8,5,0.74757634179106
1,5,0.6526171929335441
3,5,0.6866411532198032
9,5,0.7033410349638095
10,5,0.5981873557908436
5,5,1
6,5,0.7295156491855251
7,5,0.7542833657865409
2,6,0.6490302845921925
4,6,0.6254257390527199
8,6,0.6485676337867842
1,6,0.5828516552000756
3,6,0.6290285822756876
9,6,0.6194507804514815
10,6,0.4722969351800993
5,6,0.7295156491855251
6,6,1
7,6,0.5622098883313031
2,7,0.6048416785773
4,7,0.7151256595560909
8,7,0.7109053986937741
1,7,0.5614515693028074
3,7,0.6367976334026284
9,7,0.599806751922264
10,7,0.5980366128931728
5,7,0.7542833657865409
6,7,0.5622098883313031
7,7,1
