concepticon,ea
Agriculture and vegetation,Subsistence
Animals,
Basic actions and technology,Labour
Clothing and grooming,
Cognition,
Emotions and values,Gender
Food and drink,
Kinship,Kinship-Marriage
Law,Politics
Miscellaneous function words,
Modern world,
Motion,
Possession,Economy-Wealth transactions-Property
Quantity,
Religion and belief,Ritual
Sense perception,
Social and political relations,Community organization-Leadership-Class-Settlement
Spatial relations,
Speech and language,
The body,
The house,Housing
The physical world,Ecology
Time,
Warfare and hunting,
