"imputed_semantic_domain","l1","l2","Unnamed..0","overlap","p","rho","cult.dist"
"Agriculture and vegetation","be","es",257.625,10.2083333333,0.288449914752,0.297073335665,0.272727272727273
"Agriculture and vegetation","bg","be",1001.18181818,9.59090909091,0.368909534905,0.279474953595,0.363636363636364
"Agriculture and vegetation","bg","ca",1686.6,11.2,0.449521108479,0.154847326758,NA
"Agriculture and vegetation","bg","cs",2354.63636364,11.4545454545,0.337187617128,0.30709314565,0.181818181818182
"Agriculture and vegetation","bg","da",3060.60869565,8.4347826087,0.385052797459,0.231286233529,NA
"Agriculture and vegetation","bg","de",3783.48,11.56,0.332997027228,0.352552017865,NA
"Agriculture and vegetation","bg","en",4528.04166667,11.25,0.261106856707,0.344109904736,0.272727272727273
"Agriculture and vegetation","bg","es",5242.12,11.76,0.282843586181,0.234379922353,0.181818181818182
"Agriculture and vegetation","bg","eu",5951.52380952,9.2380952381,0.372681251746,0.271404683798,NA
"Agriculture and vegetation","bg","fr",6605.43478261,10.9130434783,0.270103946621,0.20048533651,0.181818181818182
"Agriculture and vegetation","bg","he",7299.4375,8.4375,0.420188553336,0.290158436276,0.363636363636364
"Agriculture and vegetation","bg","hr",7948.86363636,10.1363636364,0.33808832607,0.279735404951,NA
"Agriculture and vegetation","bg","it",8646.13636364,9.36363636364,0.359200518909,0.230783519069,NA
"Agriculture and vegetation","bg","ja",9322.7,6.95,0.324681699375,0.281134528763,0.272727272727273
"Agriculture and vegetation","bg","ka",9915.33333333,10.0952380952,0.326112948173,0.369560318349,NA
"Agriculture and vegetation","bg","kk",10592.44,7.72,0.262527779129,0.363969816038,0.685454545454545
"Agriculture and vegetation","bg","la",11269.4705882,6.70588235294,0.275258926573,0.236343869486,0.181818181818182
"Agriculture and vegetation","bg","lt",11924.3809524,10.7142857143,0.32972239501,0.229688947239,0.272727272727273
"Agriculture and vegetation","bg","nl",12621.1304348,9.65217391304,0.35561189978,0.250397912976,0.272727272727273
"Agriculture and vegetation","bg","no",13378.1578947,8.15789473684,0.403355890794,0.158902001952,NA
"Agriculture and vegetation","bg","pl",14056.1666667,10.75,0.300957404887,0.356145118867,NA
"Agriculture and vegetation","bg","pt",14760.3913043,10.347826087,0.356409684756,0.39645970933,NA
"Agriculture and vegetation","bg","ro",15453.625,10.9166666667,0.309051188749,0.383058675415,NA
"Agriculture and vegetation","bg","ru",16158.5833333,10.9166666667,0.377257276229,0.20489975808,0.272727272727273
"Agriculture and vegetation","bg","sk",16860.7272727,9.59090909091,0.381202851718,0.175258913854,NA
"Agriculture and vegetation","ca","be",17558.0833333,9.08333333333,0.304436173825,0.322537069674,NA
"Agriculture and vegetation","ca","es",18283.6666667,16.6296296296,0.11993304168,0.552969298625,NA
"Agriculture and vegetation","ca","eu",19093.9090909,9.86363636364,0.395624227144,0.194784682267,NA
"Agriculture and vegetation","ca","he",19789.3,7.6,0.391320564814,0.117444716105,NA
"Agriculture and vegetation","ca","it",20518.875,12.4583333333,0.241187320524,0.325892125224,NA
"Agriculture and vegetation","ca","ja",21255.4782609,7.13043478261,0.373190244439,0.132287354029,NA
"Agriculture and vegetation","ca","ka",21933.3333333,10.6666666667,0.303526544222,0.315228537578,NA
"Agriculture and vegetation","ca","kk",22610.7692308,9.19230769231,0.412631891003,0.219840249272,NA
"Agriculture and vegetation","ca","pt",23345.3076923,13.1538461538,0.33228038707,0.310178819822,NA
"Agriculture and vegetation","ca","ro",24152.08,10.64,0.39145361869,0.224677780878,NA
"Agriculture and vegetation","cs","be",24933.4761905,11.1904761905,0.345990860608,0.290828583494,0.272727272727273
"Agriculture and vegetation","cs","ca",25649.3043478,11.1739130435,0.301289183382,0.327773826307,NA
