
No.	Language	Language (local)	Wiki	Articles	Speakers	Admins	Active Users	% of Admins	depth	Articles/1000 speakers	Speakers/article
1	Volapük	Volapük	vo	124,427	200	3	38	7.89	14	622135	0.002
2	Ido	Ido	io	29,436	2,500	5	51	9.8	5	11774.4	0.1
3	Interlingua	Interlingua	ia	22,205	1,500	7	41	17.07	6	14803.3	0.1
4	Aragonese	Aragonés	an	37,136	10,000	6	90	6.67	61	3713.6	0.3
5	Sanskrit	संस्कृतम्	sa	11,458	15,770	5	33	15.15	140	726.6	1.4
6	Waray-Waray	Winaray	war	1,264,192	2,560,000	3	82	3.66	4	493.8	2
7	Occitan	Occitan	oc	86,683	218,310	5	80	6.25	8	397.1	2.5
8	Basque	Euskara	eu	354,975	720,000	12	640	1.88	12	533.2	1.9
9	Scots	Scots	sco	56,883	100,000	6	121	4.96	25	568.8	1.8
10	Breton	Brezhoneg	br	68,024	206,000	4	98	4.08	13	330.2	3
11	Norwegian (Nynorsk)	Nynorsk	nn	152,294	500,000	17	151	11.26	16	304.6	3.3
12	Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy	25,082	117,500	2	24	8.33	24	213.5	4.7
13	Swedish	Svenska	sv	3,731,442	9,197,090	62	2487	2.49	7	405.7	2.5
14	Scottish Gaelic	Gàidhlig	gd	15,073	63,130	3	30	10	20	238.8	4.2
15	Asturian	Asturianu	ast	107,058	110,000	9	165	5.45	5	973.3	1
16	Faroese	Føroyskt	fo	13,309	66,150	4	39	10.26	35	201.2	5
17	Luxembourgish	Lëtzebuergesch	lb	58,216	336,710	5	96	5.21	24	172.9	5.8
18	Irish	Gaeilge	ga	52,537	276,310	8	102	7.84	4	190.1	5.3
19	Estonian	Eesti	et	208,064	1,105,400	34	790	4.3	22	188.2	5.3
20	Icelandic	Íslenska	is	49,582	330,000	28	165	16.97	34	150.2	6.7
21	Welsh	Cymraeg	cy	130,573	536,890	14	142	9.86	42	243.2	4.1
22	Esperanto	Esperanto	eo	279,076	2,000,000	19	386	4.92	17	139.5	7.2
23	Norwegian (Bokmål)	Norsk (Bokmål)	no	532,596	4,300,000	43	1337	3.22	42	123.9	8.1
