language,wiki,productivity,potential_authors
English,en,3,221.1
German,de,4.8,55.5
Japanese,ja,1.8,76.1
French,fr,3.9,35.9
Polish,pl,6.1,12.8
Dutch,nl,5,16.6
Italian,it,1.6,34.2
Swedish,sv,14.8,6.5
Spanish,es,1.3,45.1
Portuguese,pt,2.6,23
Chinese,zh,0.4,85.3
Hebrew,he,10.5,2.3
Norwegian,no,10.2,3.1
Finnish,fi,9,3.2
Russian,ru,1.1,26.4
Danish,da,8.7,3.6
Bulgarian,bg,8.8,1.9
Slovene,sl,17.9,0.9
Hungarian,hu,3.5,4.2
Czech,cs,3.4,4.1
Turkish,tr,0.9,5
