word,cluster
a,8
aback,3
abacus,6
abandoned,4
abandonment,4
abasement,3
abatement,8
abbreviate,8
abbreviated,8
abdicate,1
abdomen,2
abduct,3
abduction,1
abductor,2
abhor,3
abhorrence,3
abhorring,3
abide,8
abiding,3
abidingly,3
ability,8
abject,3
able,8
ably,3
abnormal,7
abnormality,7
abnormally,7
aboard,4
abolishment,1
abolitionism,9
abolitionist,1
abominable,3
aboriginal,1
aborted,1
abortion,9
abortive,1
abound,3
about,8
aboveboard,8
abrasion,5
abrasiveness,3
abreast,4
abridged,1
absent,8
absenteeism,9
absently,8
absentmindedness,3
absolutely,8
absoluteness,9
absolutism,9
absorbable,5
absorbent,5
absorber,5
abstain,8
abstinent,9
abstract,9
abstracted,9
abstraction,9
abstractly,9
absurd,3
absurdity,3
abundance,4
abundantly,8
abuse,3
abuser,3
abusive,3
academia,9
academic,1
academically,1
academy,1
accelerant,5
accelerator,5
accentuate,2
accentuation,9
accept,8
acceptability,8
acceptably,8
accepted,1
accessible,4
accident,4
accidental,8
acclaim,6
acclimate,8
accommodate,8
accommodating,8
accommodative,8
accompanier,1
accomplish,8
accomplishable,8
accomplisher,8
accordance,8
according,1
accordingly,8
accordionist,6
accosted,3
accountability,8
accounting,8
accreditation,1
accredited,1
accrue,8
accumulation,5
accuracy,8
accursed,3
accusation,3
accusative,9
accusatorial,3
accuse,3
accustom,3
ace,6
acetylene,5
achievable,8
achiever,1
achingly,3
acid,5
acidification,5
acidly,3
acknowledge,8
acknowledged,1
acknowledgement,8
acne,7
acorn,6
acoustical,5
acoustically,2
acquainted,1
acquire,8
acquirer,8
acquisition,1
acquit,3
acquittal,1
acre,4
acrid,10
acrobat,6
acrobatic,6
acronym,8
across,4
act,1
action,8
actionable,8
activation,5
active,1
activeness,8
activism,9
actor,6
actual,8
actualization,9
actualize,9
acupuncture,7
acute,7
acutely,3
ad,1
adage,3
adaptability,8
adapter,5
adaptive,5
adaptively,8
add,8
addendum,8
addicted,3
addiction,7
addictive,3
addition,8
additive,5
adept,3
adeptly,3
adequate,8
adequately,8
adherent,9
adhesion,5
adhesive,5
adhesiveness,5
adjectivally,8
adjective,9
adjoin,4
adjoined,4
adjourn,1
adjustability,5
adjustment,8
admin,8
administrate,8
administrative,1
administratively,4
admirable,3
admiral,1
admiration,3
admire,3
admired,3
admissible,8
admission,1
admittance,1
admitted,1
admonishment,3
adobe,4
adopt,8
adoptee,8
adopter,8
adoption,8
adoptive,1
adorable,3
adorably,3
adorn,2
adornment,2
adrenalin,6
adrift,4
adulterer,3
adulteress,3
adultery,3
advanced,8
advancement,1
advancer,8
advancing,1
advantage,8
advantageous,8
advantageously,8
adventure,6
adventurer,6
adventuresome,3
adversarial,8
adversary,3
adversity,3
advertise,8
advisability,8
advisable,8
advised,1
advisedly,3
advisory,1
aerial,4
aerobics,6
aerodynamic,5
aeronautic,1
aerospace,1
aesthetic,9
aestheticism,9
aesthetics,9
afar,4
affability,3
affable,3
affectation,3
affected,8
affecting,8
affection,3
affectionate,3
affectionately,6
affective,9
affectively,8
affectivity,9
affiliate,1
affiliation,1
affirm,8
affirmative,9
affix,2
affixation,5
afflict,3
affluence,9
afford,8
affordable,8
affront,3
afghan,1
aficionado,6
afloat,4
aforementioned,8
afraid,3
afterbirth,6
afterburner,5
aftermath,1
aftermost,2
aftertaste,10
afterword,6
again,1
against,1
aged,1
ageless,3
agenda,9
agent,1
aggravate,8
aggravated,3
aggravating,8
aggravation,3
aggregately,8
aggregator,8
aggressiveness,3
aggrieved,3
agile,8
aging,8
agitate,1
agitated,3
agitator,1
aglow,6
agnostic,9
agony,3
agreeableness,9
agreed,1
agreement,1
agricultural,4
agriculture,1
aground,4
ahem,8
aid,1
aids,7
aim,8
aiming,8
aimless,3
air,4
airfield,4
airiness,3
airing,6
airport,4
airship,4
airway,7
airworthiness,1
airy,4
akin,8
alabaster,2
alarmclock,6
alarmed,3
alarming,3
alarmingly,3
alas,3
albeit,8
albino,6
alchemy,9
alcohol,10
ale,10
alert,8
alertly,6
alertness,3
alfalfa,10
algebra,5
alibi,6
alien,6
alienate,3
alienation,9
alight,4
align,1
alignment,4
alimony,1
alive,6
aliveness,3
alkaline,5
alkalinity,5
allege,8
alleged,1
allegedly,1
allegiance,1
allegoric,9
allegorically,3
allegory,9
allergenic,7
alleviate,8
