word,ci_lower,ci_upper,corr
above,0.39993777152730836,0.41077614239910026,0.405430790541233
add,0.35947090936909404,0.37587001391655406,0.3671425409772242
afterwards,0.09253428513857373,0.14557347166626697,0.12062399614521842
again,0.2961121693625894,0.31251793711326264,0.3045673135365602
age,0.32213137026298616,0.33225094490707946,0.3273446653454799
aged,0.3389185135244408,0.34927388870582804,0.34424210075918726
ahead,0.13353858022317705,0.15184174733953046,0.14280578200082483
air,0.4837191051085905,0.4953232016564046,0.4896048335559247
alone,0.3197309724911914,0.3327500687437054,0.3260898845223466
already,0.2792762020785084,0.2898454722468242,0.2844273140787208
alter,NA,NA,0.3413104257825597
always,0.32259031254522547,0.33633847127649236,0.32981576072603
amount,0.3350983122493382,0.34875251655961015,0.34202618410345903
and,0.4318723111571919,0.43896807286615747,0.4353442465397501
angle,0.11275232803965841,0.21386728958031823,0.167177575629413
animal,0.1419754238420189,0.17316453487826888,0.1574136411852765
ant,-0.015006069629791074,0.12539512394606267,0.047690016612001215
appear,0.24476942053495773,0.26304924929523754,0.25391713577203073
apple,0.24429210495559905,0.2789917586927564,0.2620871639789289
area,0.3224832370264296,0.3348811285951928,0.32847038630369535
arrive,0.23201039175559635,0.2566376934912351,0.24391028928355635
ask,0.5954593645759796,0.6023055162676122,0.598878011500578
aunt,0.48957991908921866,0.5063535886574084,0.49834050927203133
back,0.5336064216857919,0.5424767267452928,0.537984601958784
backward,-0.06232395154509019,0.3915756896607416,0.10235528195770563
bad,0.35618415721824326,0.36629541329944204,0.36130081104641254
bag,0.2011662537323336,0.33798582560893814,0.2704273310489629
bear,0.06907929381134645,0.12802624218629094,0.09843738968069189
beat,0.17948975162207925,0.23838521197126683,0.2110964990680671
beautiful,0.30091417733047326,0.3189830140230404,0.30983710098512734
become,0.4660448340243662,0.47494507817398396,0.4703017359184872
bed,0.2621420976751302,0.29111368154073025,0.277137908452128
before,0.3741304468319957,0.386788513784795,0.38080775072766987
begin,0.17774781855871583,0.19848822183156728,0.18789486564451305
behind,0.13897420846606762,0.160011494511191,0.14905955170821816
believe,0.5325311570726525,0.5399256521585086,0.5363036006049177
below,0.35562790616188616,0.3728302123180802,0.36499242995491127
between,0.338276224217077,0.34855855595646845,0.34353616509896673
big,0.3435225130630272,0.3556236581605819,0.34933685565488676
bird,NA,NA,0.043678790657694665
bitter,NA,NA,0.019032741552157628
black,0.23133166846037787,0.2673063220928889,0.24969402605313135
blind,0.009591888921989488,0.06501338916750884,0.03768093065978899
blood,0.25565100080872816,0.2769958037419681,0.2664043257162772
blue,0.27424508383675594,0.39357075851246864,0.3376360366718363
board,0.2726873783166221,0.3062720136705989,0.2897954397654557
boat,0.12037428664268038,0.2556635882691133,0.18789125151722164
body,0.2961635563310395,0.31042602358522264,0.3032639119883057
bone,0.06341234634672366,0.26461251994002827,0.16986713532597908
book,0.4548548287673596,0.4689122996489489,0.4622671901249877
border,0.01295754201025543,0.30460226049955474,0.133632369923581
boss,0.41126765122108117,0.422289414238314,0.41693609211684457
bother,0.25206654696376984,0.2957713373870924,0.27431546894872483
box,0.2170993340858411,0.244868057782157,0.23091415314525332
boy,0.48278347947121775,0.4960606760775494,0.48964098098508224
bracket,NA,NA,0.36362117757143203
brain,0.24878074459073796,0.2647643622657007,0.25642307214920335
branch,0.10368120998436392,0.15582796594907253,0.12810901615211812
bread,0.10193570568815356,0.1756302409952632,0.13974733011719365
break,0.26806745191253056,0.28573478294304383,0.27710523124817693
breath,0.04334167777624009,0.16757652058437011,0.10851486568864056
breathe,NA,NA,0.24211159538984325
bridge,0.2025737662556679,0.25964957373628383,0.23024895186500613
bright,0.1004121038911041,0.12816393303669643,0.11463720941946733
bring,0.5694638139836924,0.5792892691011298,0.574548243270528
brother,0.583758390898804,0.591554954917581,0.5875501133886866
build,0.4660857854315281,0.47699309764995773,0.4715509219332162
burn,-0.055299818760230095,0.08719212294984574,0.025688614808746464
business,0.34674388284858493,0.3603336687145799,0.3534636730488207
button,0.27685442464974835,0.31329134526776076,0.29390536448895954
buy,0.5845919493578954,0.591205694727093,0.5877540047823802
calculate,0.14339548472950814,0.21958999466346973,0.18127724623812447
call,0.3582709678696506,0.37326052905483903,0.36581867306223104
calm,0.10613701391750345,0.14147061523708976,0.12423502614055931
can,0.41460737382229323,0.4217684222115362,0.4182533729131158
carry,0.3219833860429777,0.3422101525873767,0.332416454703217
catch,0.28544580903174305,0.3052025323009231,0.2957114219649308
chair,0.3451638649703671,0.4188929245165181,0.3822629879193586
change,0.3827668968990718,0.39663002086959254,0.3895297918944825
character,0.23986277075902934,0.25560405805718567,0.24797984716629987
chat,0.2813470096326985,0.29843589270900167,0.28986941028765467
cheap,0.3195798493839323,0.33323626345637936,0.3261854009643596
cheat,0.13309958133551536,0.22204960487310374,0.1801518300698283
chicken,0.329769454024726,0.44842048159144704,0.3848495644143588
child,0.45295888294104814,0.4621522875046738,0.4572670415441401
choose,0.5230457679836716,0.5320769705605514,0.527622482141483
church,0.2629969783447172,0.3195852806760036,0.29135443378036807
circle,0.11643125171521926,0.14276632403386252,0.12898056778789951
clay,0.09930452509712491,0.20251769253268595,0.15091110881490544
clean,0.2663964841940245,0.29262655647127167,0.27984371368995375
clever,0.08703929355108085,0.12003471653626598,0.10394404730157918
climb,0.19314381099895708,0.2550219317286673,0.22312834369850906
close,0.292820959891582,0.3075792245463577,0.2998847260906746
