concept_id,english_word_form,alignment,semantic_domain
Dezember::N,december,0.8600886811152529,Time
November::N,november,0.8546093070727393,Time
April::N,april,0.8486323981386632,Time
zwölf::NUM,twelve,0.8483656450069341,Quantity
dreißig::NUM,thirty,0.8459844655606997,Quantity
Februar::N,february,0.844302633838564,Time
September::N,september,0.8420724390276049,Time
Juni::N,june,0.8371845896673336,Time
Juli::N,july,0.8349597631870364,Time
fünfzig::NUM,fifty,0.8335919739521572,Quantity
elf::NUM,eleven,0.8329692044123644,Quantity
zwanzig::NUM,twenty,0.8260869291422167,Quantity
sechzig::NUM,sixty,0.814149844233611,Quantity
Januar::N,january,0.8107592430945143,Time
März::N,march,0.808995646329996,Time
Donnerstag::N,thursday,0.8064880025667902,Time
acht::NUM,eight,0.802521593874807,Quantity
sechs::NUM,six,0.8010531625069784,Quantity
siebzig::NUM,seventy,0.8003946275192443,Quantity
fünf::NUM,five,0.7994982100042644,Quantity
zehn::NUM,ten,0.7974666490119677,Quantity
Freitag::N,friday,0.7934787405606709,Time
Dienstag::N,tuesday,0.7910824913337028,Time
vierzig::NUM,forty,0.7879748603425509,Quantity
vier::NUM,four,0.7874247740451487,Quantity
Oktober::N,october,0.7861333610072402,Time
Sonntag::N,sunday,0.7835475561102011,Time
August::N,august,0.7781600535921882,Time
neunzig::NUM,ninety,0.7772505678861605,Quantity
sieben::NUM,seven,0.7748552376191026,Quantity
achtzig::NUM,eighty,0.7747079391554538,Quantity
drei::NUM,three,0.7616777636995179,Quantity
neun::NUM,nine,0.7565841725452249,Quantity
Montag::N,monday,0.7465759019698305,Time
Mai::N,may,0.7465349719935701,Time
Mittwoch::N,wednesday,0.7350856244844755,Time
Samstag::N,saturday,0.7165979062978101,Time
hundert::NUM,a hundred,0.6809314424819765,Quantity
zwei::NUM,two,0.6624045212140883,Quantity
Süden::N,south,0.6331628302950647,Spatial relations
Westen::N,west,0.6316547261629922,Spatial relations
Norden::N,north,0.6302709354776929,Spatial relations
Eltern::N,parents,0.6297905886914599,Kinship
Sohn::N,son,0.629506015643253,Kinship
dritter::A,third,0.6277615888075162,Quantity
Bruder::N,brother,0.6186408994815391,Kinship
Vater::N,father,0.6178095582737245,Kinship
Schwester::N,sister,0.6176533218383181,Kinship
Ehefrau::N,wife,0.6123474421994219,Kinship
Großvater::N,grandfather,0.6054469674440446,Kinship
zweiter::A,second,0.5966418432386029,Quantity
Großmutter::N,grandmother,0.589966146234636,Kinship
Tochter::N,daughter,0.5834894743743213,Kinship
rot::A,red,0.5686293024107877,Sense perception
Mutter::N,mother,0.5647136643434895,Kinship
Winter::N,winter,0.5623989129811461,Time
tausend::NUM,a thousand,0.5602870820258002,Quantity
Osten::N,east,0.5571245295206945,Spatial relations
gelb::A,yellow,0.5544832120632254,Sense perception
grün::A,green,0.5542490973273008,Sense perception
Krankheit::N,illness,0.5527980814115919,The body
manchmal::ADV,sometimes,0.5454208524120088,Time
Sommer::N,summer,0.5445950861102108,Time
erster::A,first,0.5417495801349855,Quantity
Onkel::N,uncle,0.5340483275321937,Kinship
blau::A,blue,0.5323547350171212,Sense perception
Kleidung::N,clothes,0.5271052968317604,Clothing and grooming
Tante::N,aunt,0.5251136992495408,Kinship
oft::ADV,often,0.5212853560750464,Time
weiß::A,white,0.5200022317531814,Sense perception
Frühling::N,spring,0.516531508083494,Time
Herbst::N,autumn,0.5102937405587558,Time
Tag::N,day,0.5066495698142044,Time
Abend::N,evening,0.5017680543139774,Time
nur::ADV,only,0.5011703264961405,Quantity
Mädchen::N,girl,0.49813986949350697,Kinship
