n_clusters,lang,vmeasure,n_words
10,ARA,0.18335744031690052,3242
50,ARA,0.31374348869376845,3242
100,ARA,0.40396726524874965,3242
250,ARA,0.5687101529963995,3242
25,ARA,0.23510819876057137,3242
15,ARA,0.17915902041597204,3242
20,ARA,0.21517312488326262,3242
75,ARA,0.3656745826304351,3242
150,ARA,0.46790516243297575,3242
200,ARA,0.5205677292829024,3242
10,BEN,0.1814889648645833,3182
50,BEN,0.28864549493164865,3182
100,BEN,0.37801286364140485,3182
250,BEN,0.5392951037159754,3182
25,BEN,0.22769341479306188,3182
15,BEN,0.1944352994129708,3182
20,BEN,0.21143723782230195,3182
75,BEN,0.34503296186627563,3182
150,BEN,0.4467530666305236,3182
200,BEN,0.4982918392644723,3182
10,BUL,0.13028303981129682,2989
50,BUL,0.250833958275868,2989
100,BUL,0.3638085617273098,2989
250,BUL,0.5519433211697546,2989
25,BUL,0.18743142230846935,2989
15,BUL,0.1528847539179032,2989
20,BUL,0.16793739758167628,2989
75,BUL,0.3148131172813428,2989
150,BUL,0.44011372955539185,2989
200,BUL,0.49835639051807995,2989
10,CHI,0.14184309499899897,3461
50,CHI,0.28879099063675,3461
100,CHI,0.4047402964595012,3461
250,CHI,0.5702737461656122,3461
25,CHI,0.2000072364583306,3461
15,CHI,0.15651693182693244,3461
20,CHI,0.19321062671283631,3461
75,CHI,0.36098337089120824,3461
150,CHI,0.4752609335911554,3461
200,CHI,0.5230261302966986,3461
10,DUT,0.15607032952538083,3420
50,DUT,0.29432130703152853,3420
100,DUT,0.4036686425301483,3420
250,DUT,0.5673117714549477,3420
25,DUT,0.23440673619229302,3420
15,DUT,0.19110616187786664,3420
20,DUT,0.21237633128309924,3420
75,DUT,0.356772809463961,3420
150,DUT,0.4749713295771745,3420
200,DUT,0.5221402871948823,3420
10,ENG,0.478666511755145,3530
50,ENG,0.6358625595572344,3530
100,ENG,0.666201941115755,3530
250,ENG,0.7681730000671843,3530
25,ENG,0.6707626308103434,3530
15,ENG,0.6312228054248689,3530
20,ENG,0.6403395253978922,3530
75,ENG,0.6676769964164576,3530
150,ENG,0.7134277863402027,3530
200,ENG,0.7372985851103658,3530
10,FAS,0.1776546681287074,3237
50,FAS,0.31103001941387753,3237
100,FAS,0.4115675831376846,3237
250,FAS,0.5690037816069116,3237
25,FAS,0.24133593585418214,3237
15,FAS,0.20422054027253403,3237
20,FAS,0.2253377376320341,3237
75,FAS,0.3682029428054249,3237
150,FAS,0.475492543069262,3237
200,FAS,0.5165757882319573,3237
10,FRE,0.1431642245968713,3485
50,FRE,0.2865222190808116,3485
100,FRE,0.40493985162690976,3485
250,FRE,0.5704155295664596,3485
25,FRE,0.22351917199161747,3485
15,FRE,0.16745189685891507,3485
20,FRE,0.20071020723998792,3485
75,FRE,0.35911125424596624,3485
150,FRE,0.47863138740173794,3485
200,FRE,0.5232822135536938,3485
10,GER,0.15973946509100515,3513
50,GER,0.3124150193706574,3513
100,GER,0.4245971104325779,3513
250,GER,0.5791527795089804,3513
25,GER,0.2601188043580396,3513
15,GER,0.1997748205852979,3513
20,GER,0.239629771974525,3513
75,GER,0.37206996709677687,3513
150,GER,0.48327925497865853,3513
200,GER,0.5356995805550971,3513
10,GRE,0.16391796454223206,3124
50,GRE,0.27765886090484726,3124
100,GRE,0.3840671520703351,3124
250,GRE,0.5547927140960448,3124
25,GRE,0.2260589714105437,3124
15,GRE,0.17271087901047863,3124
20,GRE,0.1969028270990528,3124
75,GRE,0.34359531411124594,3124
150,GRE,0.45524930735972113,3124
200,GRE,0.5070797997671662,3124
10,GUJ,0.12407885260641952,2540
50,GUJ,0.23420418401443466,2540
100,GUJ,0.3513292473043888,2540
250,GUJ,0.5492556622896916,2540
25,GUJ,0.15876395055057158,2540
15,GUJ,0.1398426813004449,2540
20,GUJ,0.1485095722132417,2540
75,GUJ,0.30343649897931174,2540
150,GUJ,0.44032444471588156,2540
200,GUJ,0.4956969348577858,2540
10,HIN,0.19448549608442747,3141
50,HIN,0.28486463082689495,3141
100,HIN,0.37628446960490863,3141
250,HIN,0.5423740361009401,3141
25,HIN,0.22115078212211958,3141
15,HIN,0.19594100839845263,3141
20,HIN,0.2187245157237653,3141
75,HIN,0.3344523316973845,3141
150,HIN,0.45047393264933844,3141
200,HIN,0.49932962958462135,3141
10,IBO,0.10777756257770149,950
50,IBO,0.2768035412005835,950
100,IBO,0.44152615107339926,950
250,IBO,0.6685810211410955,950
25,IBO,0.1564448920628266,950
15,IBO,0.10508537613683464,950
20,IBO,0.1301926686487141,950
75,IBO,0.36761836002793236,950
150,IBO,0.5450135344880499,950
200,IBO,0.6083877739963512,950
10,IND,0.18875921171951335,3436
50,IND,0.3464411997718112,3436
100,IND,0.4347584260252063,3436
250,IND,0.5893917572414645,3436
25,IND,0.2776446613350523,3436
15,IND,0.2134905267206099,3436
20,IND,0.2662751945222245,3436
75,IND,0.3930191069372164,3436
150,IND,0.5047790305573727,3436
200,IND,0.5518367363294052,3436
10,ITA,0.14830437612689942,3471
50,ITA,0.31260324861184857,3471
100,ITA,0.41781919259168454,3471
250,ITA,0.5703716806338485,3471
25,ITA,0.23560184129340336,3471
15,ITA,0.17729270246717613,3471
20,ITA,0.20241314215285008,3471
75,ITA,0.3582484721896319,3471
150,ITA,0.4789370084404512,3471
200,ITA,0.5280486208320496,3471
10,JPN,0.05854596847881829,3464
50,JPN,0.21083858990146137,3464
100,JPN,0.3396837545979587,3464
250,JPN,0.5341251892302338,3464
25,JPN,0.12638363390900784,3464
15,JPN,0.07488644210763248,3464
20,JPN,0.10743270035807144,3464
75,JPN,0.28933039445319886,3464
150,JPN,0.42718530307518066,3464
200,JPN,0.47844642918498426,3464
10,KAN,0.15459057859982342,3005
50,KAN,0.24150619326129036,3005
100,KAN,0.35119928040999143,3005
250,KAN,0.5374048154663901,3005
25,KAN,0.20345467039003903,3005
15,KAN,0.15406093028776705,3005
20,KAN,0.1722757065630141,3005
75,KAN,0.3088408710833907,3005
150,KAN,0.42365803835888854,3005
200,KAN,0.4858337667878433,3005
10,KOR,0.1489177028009819,3264
50,KOR,0.2718993738789241,3264
100,KOR,0.3822397779333488,3264
250,KOR,0.5630974033900709,3264
25,KOR,0.20732549553624402,3264
15,KOR,0.18243363422553283,3264
20,KOR,0.18518681078885146,3264
75,KOR,0.3350453974058385,3264
150,KOR,0.4598090000068361,3264
200,KOR,0.5116628224756276,3264
10,MAL,0.17463597719783877,3063
50,MAL,0.269082467238694,3063
100,MAL,0.3706290447229341,3063
250,MAL,0.5444330837142276,3063
25,MAL,0.2195851688174636,3063
15,MAL,0.18761931152702094,3063
20,MAL,0.1985338523268722,3063
75,MAL,0.32549905795602546,3063
150,MAL,0.44245617303662094,3063
200,MAL,0.49343370295587957,3063
10,MAR,0.14060799398599333,3025
50,MAR,0.25066104750869783,3025
100,MAR,0.35186242235673604,3025
250,MAR,0.5342761865139577,3025
25,MAR,0.18780449128856053,3025
15,MAR,0.17365789175844598,3025
20,MAR,0.17766469032395604,3025
75,MAR,0.3010715867606917,3025
150,MAR,0.4245181680258937,3025
200,MAR,0.47489718308991474,3025
10,NEP,0.1434448812060543,2577
50,NEP,0.2555001070284374,2577
100,NEP,0.36423408422319337,2577
250,NEP,0.5539108762892594,2577
25,NEP,0.190977364844066,2577
15,NEP,0.13364383191133206,2577
20,NEP,0.16262446901236013,2577
75,NEP,0.31712276199761424,2577
150,NEP,0.4456312838831374,2577
200,NEP,0.5097646046244483,2577
10,PAN,0.14514609532348174,2705
50,PAN,0.2487657635930265,2705
100,PAN,0.35504716690923804,2705
