item,qap_p,estimate,tstat,n
ash,0.014,-0.4535128192718075,-2.8387723143178403,528
cloud,0.071,-0.34114047448175566,-2.503127362107093,561
day,0.229,-0.44007235524230537,-2.356894681218974,595
dust,0.037,-0.5865981604359995,-2.3171667680921666,528
earth,0.103,-0.5425921730478043,-3.1553220964647464,595
fire,0,-0.7844547586086172,-4.89327038628174,561
lake,0.591,0.1841421201432535,0.8171528656330896,528
moon,0.006,-0.4873402161202986,-3.184794414264261,528
mountain,0.001,-1.0047956547657733,-4.25270613703234,561
night,0.172,-0.3315384146670391,-1.6821264367751552,465
river,0.264,-0.31315510508076827,-1.3044462822374563,561
salt,0.078,-0.29656624704573536,-1.9662676656868332,561
sand,0.135,-0.43926417541316687,-1.9836913483176966,496
sea,0.44,-0.3868648021220787,-1.6434729182094319,595
sky,0.032,-0.46755181772992926,-2.9722921455409854,561
smoke,0,-0.8972568996582946,-5.001016622996959,528
star,0.562,-0.11491451201967517,-0.7067788948498697,561
stone,0.081,-0.47143313328059655,-2.2867166392873903,561
sun,0.22,-0.20263810131517718,-1.4115783848944146,561
water,0.029,-0.4117943645100481,-2.4719384599220664,561
wind,0.005,-0.6014322412743922,-3.617561942477967,528
year,0.083,-0.6132666990238999,-3.1114162241218852,595
