swadash_word,word_id
LAKE,1
SEA,2
OCEAN,2
WATER,3
YEAR,4
SAND,5
ASH,6
ASHES,6
SKY,7
DAY,8
DAYTIME,8
FIRE,9
SMOKE,10
MOON,11
MOUNTAIN,12
NIGHT,13
CLOUD,14
CLOUDS,14
STONE,15
ROCK,15
SALT,16
SUN,17
DUST,18
EARTH,19
SOIL,19
WIND,20
STAR,21
RIVER,22
