item,qap_p,estimate,tstat,n
ash,0.001,-1505595.965643302,-3.800040128502105,528
cloud,0.019,-980061.2023704627,-2.905887768395254,561
day,0.013,-2329150.381549889,-4.982823613815259,595
dust,0,-3423614.3558220267,-5.472912714095136,528
earth,0,-2882746.9962632144,-6.785449328588702,595
fire,0,-2571183.9845882244,-6.412445530657236,561
lake,0.227,-953016.3771548037,-1.6658956759867665,528
moon,0,-1883437.289476358,-5.09923069997092,528
mountain,0,-3815085.758442193,-6.49277564365463,561
night,0,-1825005.4139058224,-3.7841058122269424,465
river,0,-2835836.259108449,-4.739220026187965,561
salt,0,-1605600.6471855866,-4.211057414332447,561
sand,0,-2998192.3512779963,-5.466536411095612,496
sea,0.065,-1981059.0331124335,-3.3321308355406525,595
sky,0.022,-1208333.0286486505,-3.1001721644654534,561
smoke,0,-2576510.931882747,-5.801128394785913,528
star,0.037,-1199929.3985539975,-2.8983917610668812,561
stone,0,-2724388.6565914676,-5.2548107109354,561
sun,0,-2114571.8302914873,-6.0253122058673485,561
water,0,-2610261.06295547,-6.390794772086293,561
wind,0.01,-1206677.2616661752,-2.8965401818483674,528
year,0.048,-1722374.3374426418,-3.441874842613712,595
