10,global,0.2830402458468194,bg,hi
10,local,0.340193542328754,bg,hi
15,global,0.2862991076775822,bg,hi
15,local,0.3437321048828686,bg,hi
20,global,0.2813449858902911,bg,hi
20,local,0.3363933927955325,bg,hi
25,global,0.2809464031214971,bg,hi
25,local,0.3468874975437529,bg,hi
50,global,0.25250589170238796,bg,hi
50,local,0.32464117259965924,bg,hi
75,global,0.2463710611901986,bg,hi
75,local,0.33962877860949203,bg,hi
100,global,0.2376497507640799,bg,hi
100,local,0.3396511794155612,bg,hi
150,global,0.23118959700975555,bg,hi
150,local,0.3308410072437117,bg,hi
200,global,0.22711272704637037,bg,hi
200,local,0.32113473427497424,bg,hi
250,global,0.21940482964401561,bg,hi
250,local,0.34703642477637053,bg,hi
