measure1,measure2,simple_cor,simple_p,qap_reg_p,estimate_reg,tstat_reg,n,qap_cor_p1,qap_cor_p2
semantic_dist,semantic_dist,1,0,0,1.0000000000000013,18024984363708444,378,0,1
eco_dist,semantic_dist,0.5396103473081869,4.7009102599394055e-32,0,0.2594409455946264,6.291346749756686,378,0,1
asjp_lang_dist,semantic_dist,0.7293100651224217,1.3941751944176406e-68,0,0.6901806105041558,9.389798033554735,378,0,1
wals_lang_dist,semantic_dist,0.6056856173255423,5.224439697283744e-42,0,0.26742530386997526,5.836024785641299,378,0.001,0.999
physical_dist,semantic_dist,0.5249440213597291,3.9385353428693806e-30,0,0.29683463478810623,7.626394572734482,378,0,1
cultural_distances,semantic_dist,0.6886138467027112,2.32763298956071e-58,0,0.3916810482817224,8.096370641260775,378,0,1
semantic_dist,eco_dist,0.5396103473081869,4.7009102599394055e-32,0,0.3671072792179647,6.291346749756675,378,0.002,0.998
eco_dist,eco_dist,1,0,0,1.0000000000000002,80373971669860530,378,0,1
asjp_lang_dist,eco_dist,0.4888063660536969,2.5174607655890885e-48,0,0.5828880545619015,6.3097583820450955,378,0,1
wals_lang_dist,eco_dist,0.4130574006027639,1.1746544697839188e-33,0,0.27427316585053985,4.974285285037352,378,0.006,0.994
physical_dist,eco_dist,0.5797899861908176,1.3138624595025603e-71,0,0.5032258089590586,11.855576238979063,378,0,1
cultural_distances,eco_dist,0.5945545353371479,4.1075418291221655e-76,0,0.5792530658670837,10.581717562366606,378,0,1
semantic_dist,asjp_lang_dist,0.7293100651224217,1.3941751944176406e-68,0,0.27521637090867973,9.38979803355474,378,0,1
eco_dist,asjp_lang_dist,0.4888063660536969,2.5174607655890885e-48,0,0.16426392171859783,6.309758382045099,378,0,1
asjp_lang_dist,asjp_lang_dist,1,0,0,0.9999999999999994,34402633923102840,378,0,1
wals_lang_dist,asjp_lang_dist,0.6312781219055846,2.1471889134541147e-88,0,0.2083491516329156,7.376880267756727,378,0.002,0.998
physical_dist,asjp_lang_dist,0.4670713240853089,9.860427129879894e-44,0,0.213345765979678,8.885700285878118,378,0,1
cultural_distances,asjp_lang_dist,0.7235931323002307,4.861634792366084e-128,0,0.26660199204813545,8.85280184581885,378,0,1
semantic_dist,wals_lang_dist,0.6056856173255423,5.224439697283744e-42,0,0.3105883867166635,5.8360247856412935,378,0,1
eco_dist,wals_lang_dist,0.4130574006027639,1.1746544697839188e-33,0,0.225118692105488,4.974285285037357,378,0.008,0.992
asjp_lang_dist,wals_lang_dist,0.6312781219055846,2.1471889134541147e-88,0,0.6068242696610563,7.376880267756724,378,0.002,0.998
wals_lang_dist,wals_lang_dist,1,0,0,0.9999999999999998,98411375516030100,378,0,1
physical_dist,wals_lang_dist,0.5339206813539118,5.53442212675177e-59,0,0.3976812077481648,9.90808323416462,378,0,1
cultural_distances,wals_lang_dist,0.4743572633016895,3.09688304144099e-45,0.005,0.1914027661296563,3.440722366793127,378,0.041,0.959
semantic_dist,physical_dist,0.5249440213597291,3.9385353428693806e-30,0,0.45130720331162205,7.62639457273448,378,0,1
eco_dist,physical_dist,0.5797899861908176,1.3138624595025603e-71,0,0.5407121411477706,11.855576238979074,378,0,1
asjp_lang_dist,physical_dist,0.4670713240853089,9.860427129879894e-44,0,0.8134487778667843,8.88570028587812,378,0,1
wals_lang_dist,physical_dist,0.5339206813539118,5.53442212675177e-59,0,0.5206070515433555,9.90808323416461,378,0,1
physical_dist,physical_dist,1,0,0,1.0000000000000004,92769874369881090,378,0,1
cultural_distances,physical_dist,0.4883165416430503,3.222175032716175e-48,0,0.4933357163121855,8.301791693748225,378,0,1
semantic_dist,cultural_distances,0.6886138467027112,2.32763298956071e-58,0,0.3790243552538515,8.096370641260775,378,0,1
eco_dist,cultural_distances,0.5945545353371479,4.1075418291221655e-76,0,0.39613974967912924,10.581717562366618,378,0,1
asjp_lang_dist,cultural_distances,0.7235931323002307,4.861634792366084e-128,0,0.6469734217874825,8.852801845818854,378,0,1
wals_lang_dist,cultural_distances,0.4743572633016895,3.09688304144099e-45,0.003,0.15947773323618192,3.4407223667931244,378,0.048,0.952
physical_dist,cultural_distances,0.4883165416430503,3.222175032716175e-48,0,0.31399260907374354,8.30179169374823,378,0,1
cultural_distances,cultural_distances,0.9999999999999999,0,0,1.0000000000000009,19473215602777316,378,0,1
