L1_code,tsne_X,tsne_Y
ARA,-0.42156003531296804,-0.6071141715393701
BEN,-0.17565902697774435,-0.8104825221648586
BUL,-0.35276772238759235,-0.6594761041263046
CHI,-0.13216682835002988,-0.6114869945018119
DUT,-0.13236311084405242,-0.9255696255535062
ENG,-0.17637770285848078,-0.7410375873317722
FAS,-0.12192953594961616,-0.5281603995993388
FRE,-0.21807702136160378,-0.7342048658902399
GER,-0.3374790344183859,-0.8268089890048398
GRE,-0.23143847269865223,-0.4327536326620155
GUJ,-0.15969940049234088,-0.7169606196658223
HIN,-0.5716915576546134,-0.7023048228709291
IBO,-0.14183705723717643,-0.3641939517510094
IND,-0.24782445194406263,-0.37889921331018006
ITA,-0.20334689566435102,-0.7486995759569489
JPN,-0.22670208293011895,-0.6851589664296126
KAN,-0.20359851058167336,-0.6141877748472653
KOR,-0.11630855909245913,-0.6312008538012185
MAL,-0.4186860420944094,-0.5739797977751451
MAR,-0.12993604707041254,-0.7643310500073379
NEP,-0.2946635392234818,-0.5779778372596648
PAN,-0.28412197651841214,-0.5174725017416951
POL,-0.5082279831688351,-0.6930915576490169
POR,-0.23396734410183254,-0.48470285556774845
RUM,-0.33822031623395216,-0.7834413709329171
RUS,-0.23060446056251063,-0.7427369973797097
SPA,-0.2847497196333024,-0.6287189929628711
TAM,-0.3431818110430371,-0.6495818614169508
TEL,-0.18148799815673783,-0.6552523089855732
TGL,-0.37092050444962354,-0.84942760405089
THA,-0.09871622247881513,-0.6627288371644594
TUR,-0.4014335095263879,-0.5589064368279427
URD,-0.2982513507967942,-0.7548570837362302
VIE,-0.10791771483641287,-0.5205611470727914
YOR,-0.3125489520554497,-0.38957408302435437
