lang1_ETS,lang2_ETS,semantic_dist
ara,ara,0
ben,ara,1.888231256355244
bul,ara,1.2923839239236585
chi,ara,1.6146529536928964
dut,ara,2.0536957113599303
eng,ara,1.6508713267894806
fas,ara,1.2341790123459864
fre,ara,1.698251471140464
ger,ara,2.0462133416329626
gre,ara,1.7314582693017537
guj,ara,1.6526963915970037
hin,ara,2.024419835054382
ibo,ara,1.7811954612495127
ind,ara,1.4879928881366284
ita,ara,1.8228582327966019
jpn,ara,1.838806340804342
kan,ara,2.2080149054999736
kor,ara,1.8928618265175852
mal,ara,1.9778549089620017
mar,ara,2.090885959710521
nep,ara,1.6730863463514458
pan,ara,1.5841584394751425
pol,ara,1.5481331846520427
por,ara,1.521792690768221
rum,ara,1.3456341551221125
rus,ara,1.3960249295759612
spa,ara,1.3784138784331974
tam,ara,2.227087901587114
tel,ara,1.9049186698257936
tgl,ara,1.7024869455258613
tha,ara,1.5268610805647853
tur,ara,1.2546434314753403
urd,ara,1.653271117149675
vie,ara,1.5182713548294038
yor,ara,1.916499641097597
ara,ben,NA
ben,ben,0
bul,ben,2.058815844414316
chi,ben,2.0331157930409978
dut,ben,2.3041991729753244
eng,ben,1.0463438866737744
fas,ben,1.894850586566214
fre,ben,2.144013036679286
ger,ben,2.2845894550827297
gre,ben,1.8635016468448735
guj,ben,1.2016957970675435
hin,ben,0.7548602070033142
ibo,ben,1.4168969940259917
ind,ben,2.03570211039013
ita,ben,2.3403421623089473
jpn,ben,2.446816432375076
kan,ben,1.0111878579060596
kor,ben,2.2952683597799894
mal,ben,0.8080953613508718
mar,ben,0.8194258011310133
nep,ben,1.0188366610744943
pan,ben,0.9194850519127626
pol,ben,2.014984976044448
por,ben,2.1220639308751457
rum,ben,1.9117256853718816
rus,ben,1.9876553240044308
spa,ben,2.2306548934152475
tam,ben,0.8997829128051159
tel,ben,0.9977171913711296
tgl,ben,1.747723575548608
tha,ben,2.3405433106167917
tur,ben,1.8811995103674664
urd,ben,0.8059325805370365
vie,ben,2.283500839985864
yor,ben,1.4069652121180278
ara,bul,NA
ben,bul,NA
bul,bul,0
chi,bul,1.4457957801504158
dut,bul,1.452115523273644
eng,bul,1.659658045764617
fas,bul,1.4103507138714593
fre,bul,1.1607386809723281
ger,bul,1.3777778829084402
gre,bul,1.2713891777350441
guj,bul,2.0988638030070934
hin,bul,2.195650766779801
ibo,bul,1.935796125705457
