measure1,measure2,simple_cor,simple_p,qap_reg_p,estimate_reg,tstat_reg,n,qap_cor_p1,qap_cor_p2
semantic_dist,semantic_dist,1,0,0,1.0000000000000002,1.8210728944087482e+17,595,0,1
eco_dist,semantic_dist,0.5488996357623629,7.426721716031352e-51,0,0.3104281070600062,9.79233720523616,595,0,1
asjp_lang_dist,semantic_dist,0.7093298764759793,1.8463435561976883e-97,0,0.6323163462591066,10.771616835939977,595,0,1
wals_lang_dist,semantic_dist,0.5472839740763537,1.6492572739472446e-50,0,0.20096378542435078,5.44462020439066,595,0.003,0.997
physical_dist,semantic_dist,0.5201183327745945,5.89486976438124e-45,0,0.31685250979728147,10.305112537302167,595,0,1
semantic_dist,eco_dist,0.5488996357623629,7.426721716031352e-51,0,0.4483961619515093,9.792337205236155,595,0,1
eco_dist,eco_dist,1,0,0,1.0000000000000013,21090659886916380,595,0,1
asjp_lang_dist,eco_dist,0.4518312596579534,1.147058752715622e-62,0,0.6016770287217809,8.232978133588155,595,0,1
wals_lang_dist,eco_dist,0.3484914153170057,2.6776326593755465e-36,0,0.2274450244860096,5.112699446678213,595,0.013,0.987
physical_dist,eco_dist,0.5466834878688361,2.1286354465874297e-96,0,0.4870858129245012,14.002652954186345,595,0,1
semantic_dist,asjp_lang_dist,0.7093298764759793,1.8463435561976883e-97,0,0.2587999353732729,10.771616835939978,595,0,1
eco_dist,asjp_lang_dist,0.4518312596579534,1.147058752715622e-62,0,0.1704874187866855,8.232978133588151,595,0,1
asjp_lang_dist,asjp_lang_dist,1,0,0,1.0000000000000007,40447083404228010,595,0,1
wals_lang_dist,asjp_lang_dist,0.5969737484144079,3.626353627962549e-119,0,0.18958640340310026,8.275237060639755,595,0.001,0.999
physical_dist,asjp_lang_dist,0.44726272407999745,2.6984085994080955e-61,0,0.21989106768809022,11.359815867676073,595,0,1
semantic_dist,wals_lang_dist,0.5472839740763537,1.6492572739472446e-50,0,0.23690686628753516,5.444620204390658,595,0.001,0.999
eco_dist,wals_lang_dist,0.3484914153170057,2.6776326593755465e-36,0,0.18562455959373958,5.112699446678211,595,0.013,0.987
asjp_lang_dist,wals_lang_dist,0.5969737484144079,3.626353627962549e-119,0,0.5460561197932478,8.275237060639752,595,0.001,0.999
wals_lang_dist,wals_lang_dist,1,0,0,1.0000000000000002,163233057651767870,595,0,1
physical_dist,wals_lang_dist,0.4632839667118794,3.3748506907009287e-66,0,0.3400961628870794,10.166853680181676,595,0,1
semantic_dist,physical_dist,0.5201183327745945,5.89486976438124e-45,0,0.47934676229799306,10.305112537302175,595,0,1
eco_dist,physical_dist,0.5466834878688361,2.1286354465874297e-96,0,0.5101492789355146,14.002652954186395,595,0,1
asjp_lang_dist,physical_dist,0.44726272407999745,2.6984085994080955e-61,0,0.8127752686819202,11.359815867676083,595,0,1
wals_lang_dist,physical_dist,0.4632839667118794,3.3748506907009287e-66,0,0.4364500357583141,10.166853680181681,595,0,1
physical_dist,physical_dist,0.9999999999999999,0,0,0.9999999999999982,14294955596800018,595,0,1
